Frequency (Hz)	Level (dB)
1.464844	-97.512695
2.929688	-105.403976
4.394531	-104.738548
5.859375	-103.950668
7.324219	-95.257095
8.789063	-86.928062
10.253906	-84.464561
11.718750	-83.385384
13.183594	-87.630806
14.648438	-87.042030
16.113281	-73.464233
17.578125	-67.162880
19.042969	-71.109955
20.507813	-71.866928
21.972656	-74.149620
23.437500	-84.157112
24.902344	-80.830101
26.367188	-80.775627
27.832031	-79.591507
29.296875	-81.734329
30.761719	-78.496315
32.226563	-71.325287
33.691406	-68.335205
35.156250	-73.753677
36.621094	-75.942673
38.085938	-73.674072
39.550781	-78.204781
41.015625	-81.638313
42.480469	-80.989525
43.945313	-75.634033
45.410156	-71.672142
46.875000	-73.572212
48.339844	-83.414703
49.804688	-78.629494
51.269531	-76.935814
52.734375	-76.326538
54.199219	-76.673630
55.664063	-79.583359
57.128906	-77.292580
58.593750	-76.988014
60.058594	-81.389931
61.523438	-86.185249
62.988281	-83.734909
64.453125	-84.123230
65.917969	-86.361877
67.382813	-88.244324
68.847656	-86.273560
70.312500	-82.566589
71.777344	-85.297447
73.242188	-88.867096
74.707031	-86.954819
76.171875	-90.515160
77.636719	-91.261124
79.101563	-92.355820
80.566406	-97.861671
82.031250	-91.309700
83.496094	-89.859985
84.960938	-90.814690
86.425781	-83.371674
87.890625	-85.960869
89.355469	-84.612671
90.820313	-84.998535
92.285156	-90.930717
93.750000	-87.427490
95.214844	-84.664368
96.679688	-84.608467
98.144531	-83.639091
99.609375	-76.699326
101.074219	-78.713036
102.539063	-81.997101
104.003906	-82.220421
105.468750	-89.935059
106.933594	-86.463707
108.398438	-88.933846
109.863281	-87.901985
111.328125	-90.555573
112.792969	-83.777023
114.257813	-84.540535
115.722656	-95.618294
117.187500	-87.815117
118.652344	-89.346703
120.117188	-92.820366
121.582031	-90.490494
123.046875	-89.280548
124.511719	-89.024261
125.976563	-96.760635
127.441406	-85.182854
128.906250	-85.928871
130.371094	-87.152367
131.835938	-86.608017
133.300781	-92.167015
134.765625	-93.770721
136.230469	-98.904930
137.695313	-99.641869
139.160156	-98.495407
140.625000	-91.045570
142.089844	-89.639656
143.554688	-87.200775
145.019531	-85.462608
146.484375	-85.483475
147.949219	-90.967331
149.414063	-86.414444
150.878906	-84.775009
152.343750	-92.674278
153.808594	-99.042114
155.273438	-89.740364
156.738281	-88.911636
158.203125	-93.363251
159.667969	-96.074417
161.132813	-97.306023
162.597656	-91.618080
164.062500	-89.714279
165.527344	-93.574593
166.992188	-91.537186
168.457031	-88.090698
169.921875	-83.647026
171.386719	-83.287590
172.851563	-88.641548
174.316406	-96.564400
175.781250	-92.861816
177.246094	-95.425819
178.710938	-98.909767
180.175781	-94.343369
181.640625	-94.546654
183.105469	-91.594688
184.570313	-86.686699
186.035156	-83.938141
187.500000	-83.750572
188.964844	-87.819305
190.429688	-73.297775
191.894531	-70.039413
193.359375	-78.547661
194.824219	-92.713051
196.289063	-92.736992
197.753906	-95.318520
199.218750	-92.716171
200.683594	-92.111305
202.148438	-91.859657
203.613281	-85.589943
205.078125	-89.548035
206.542969	-92.556793
208.007813	-93.439392
209.472656	-93.663086
210.937500	-92.491913
212.402344	-90.809608
213.867188	-92.475609
215.332031	-93.323357
216.796875	-94.851578
218.261719	-84.523598
219.726563	-82.182571
221.191406	-86.696747
222.656250	-89.967651
224.121094	-92.073280
225.585938	-96.211761
227.050781	-105.215912
228.515625	-100.723137
229.980469	-105.291885
231.445313	-97.799271
232.910156	-93.721664
234.375000	-92.142929
235.839844	-93.432556
237.304688	-93.106369
238.769531	-93.235214
240.234375	-86.866432
241.699219	-85.659348
243.164063	-88.350204
244.628906	-89.943176
246.093750	-85.584892
247.558594	-82.906799
249.023438	-87.742188
250.488281	-82.277740
251.953125	-83.004265
253.417969	-86.985237
254.882813	-95.534500
256.347656	-98.733612
257.812500	-96.347092
259.277344	-86.263718
260.742188	-83.015923
262.207031	-89.585045
263.671875	-94.224892
265.136719	-93.154984
266.601563	-89.368034
268.066406	-87.761024
269.531250	-83.728447
270.996094	-90.420837
272.460938	-90.709694
273.925781	-89.066795
275.390625	-88.473969
276.855469	-86.563553
278.320313	-81.585022
279.785156	-82.390579
281.250000	-88.486359
282.714844	-82.821907
284.179688	-80.059784
285.644531	-84.208382
287.109375	-88.190262
288.574219	-82.514748
290.039063	-83.455269
291.503906	-95.205132
292.968750	-85.130249
294.433594	-86.562202
295.898438	-88.203606
297.363281	-83.354683
298.828125	-82.105492
300.292969	-79.015587
301.757813	-84.245255
303.222656	-81.095375
304.687500	-77.194511
306.152344	-78.687080
307.617188	-81.178329
309.082031	-85.265839
310.546875	-86.782906
312.011719	-89.974022
313.476563	-91.972389
314.941406	-92.122292
316.406250	-88.484848
317.871094	-87.885559
319.335938	-90.714836
320.800781	-99.488815
322.265625	-82.647995
323.730469	-79.167038
325.195313	-83.462029
326.660156	-87.888893
328.125000	-81.304001
329.589844	-78.330673
331.054688	-79.192841
332.519531	-82.351334
333.984375	-86.241982
335.449219	-83.640396
336.914063	-78.817307
338.378906	-75.384415
339.843750	-76.868874
341.308594	-80.871231
342.773438	-80.354668
344.238281	-80.895424
345.703125	-89.690628
347.167969	-89.011505
348.632813	-76.660011
350.097656	-73.681580
351.562500	-78.370216
353.027344	-77.219406
354.492188	-79.326904
355.957031	-78.522659
357.421875	-75.250504
358.886719	-79.179909
360.351563	-84.437134
361.816406	-76.825729
363.281250	-75.072426
364.746094	-78.043320
366.210938	-85.137939
367.675781	-85.342598
369.140625	-84.798531
370.605469	-83.572388
372.070313	-86.731941
373.535156	-82.319519
375.000000	-81.225388
376.464844	-81.869370
377.929688	-79.239372
379.394531	-79.123665
380.859375	-79.926262
382.324219	-92.944733
383.789063	-83.512840
385.253906	-79.976387
386.718750	-81.614464
388.183594	-78.384720
389.648438	-80.074860
391.113281	-79.596077
392.578125	-85.310509
394.042969	-90.270752
395.507813	-90.738045
396.972656	-87.265976
398.437500	-88.145836
399.902344	-75.974144
401.367188	-76.874008
402.832031	-83.668571
404.296875	-85.060890
405.761719	-79.459923
407.226563	-84.850090
408.691406	-77.560600
410.156250	-73.997406
411.621094	-73.883591
413.085938	-78.758751
414.550781	-84.280785
416.015625	-85.952797
417.480469	-88.230774
418.945313	-88.891869
420.410156	-89.574036
421.875000	-89.486519
423.339844	-78.672279
424.804688	-77.141403
426.269531	-81.411743
427.734375	-86.176018
429.199219	-89.596390
430.664063	-86.489792
432.128906	-89.967964
433.593750	-84.589073
435.058594	-80.047295
436.523438	-77.533600
437.988281	-76.419823
439.453125	-77.726112
440.917969	-81.311111
442.382813	-79.062721
443.847656	-76.839714
445.312500	-78.253777
446.777344	-79.132515
448.242188	-82.280251
449.707031	-78.609375
451.171875	-74.028755
452.636719	-75.770103
454.101563	-84.808334
455.566406	-80.797478
457.031250	-81.762657
458.496094	-83.407791
459.960938	-82.862106
461.425781	-87.291260
462.890625	-87.222527
464.355469	-86.885025
465.820313	-89.296928
467.285156	-79.124901
468.750000	-81.125191
470.214844	-84.115273
471.679688	-83.739891
473.144531	-88.647285
474.609375	-92.813423
476.074219	-90.887344
477.539063	-85.989784
479.003906	-86.421669
480.468750	-88.144218
481.933594	-84.397865
483.398438	-78.393135
484.863281	-77.562836
486.328125	-81.806160
487.792969	-80.655388
489.257813	-82.914711
490.722656	-84.637833
492.187500	-78.446449
493.652344	-80.659836
495.117188	-78.811394
496.582031	-80.304512
498.046875	-85.632622
499.511719	-89.606056
500.976563	-89.791847
502.441406	-88.012161
503.906250	-90.141357
505.371094	-77.157547
506.835938	-79.533127
508.300781	-78.219360
509.765625	-83.730804
511.230469	-92.454430
512.695313	-87.377022
514.160156	-96.561951
515.625000	-82.638062
517.089844	-85.091751
518.554688	-89.307884
520.019531	-87.360596
521.484375	-86.622543
522.949219	-90.472801
524.414063	-88.626389
525.878906	-91.637360
527.343750	-87.243706
528.808594	-86.148407
530.273438	-81.527611
531.738281	-81.408760
533.203125	-78.956543
534.667969	-80.449158
536.132813	-81.396324
537.597656	-84.543297
539.062500	-98.517509
540.527344	-89.988197
541.992188	-88.577034
543.457031	-93.639114
544.921875	-85.801468
546.386719	-88.722237
547.851563	-87.911644
549.316406	-80.407707
550.781250	-81.158791
552.246094	-85.470940
553.710938	-80.733391
555.175781	-81.581551
556.640625	-76.223465
558.105469	-76.949089
559.570313	-81.978523
561.035156	-82.049171
562.500000	-85.157547
563.964844	-89.757179
565.429688	-89.790512
566.894531	-82.155540
568.359375	-80.213501
569.824219	-81.542480
571.289063	-84.337143
572.753906	-89.420715
574.218750	-94.292831
575.683594	-95.709389
577.148438	-88.140213
578.613281	-84.802299
580.078125	-86.774055
581.542969	-93.808098
583.007813	-91.353889
584.472656	-85.187355
585.937500	-78.907883
587.402344	-79.641220
588.867188	-87.180237
590.332031	-83.565308
591.796875	-76.469864
593.261719	-73.599403
594.726563	-73.691231
596.191406	-76.312027
597.656250	-86.970032
599.121094	-78.401672
600.585938	-78.209007
602.050781	-76.868614
603.515625	-73.528778
604.980469	-75.449043
606.445313	-91.145561
607.910156	-84.066521
609.375000	-88.051590
610.839844	-93.403114
612.304688	-89.361015
613.769531	-89.491013
615.234375	-83.992683
