x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
+75.000000E-03,+970.351778E-03,+4.507236198E+00,+20.119346142E+00,+5.552763745E+00
+75.005000E-03,+1.075879415E+00,+4.507236198E+00,+2.028893471E+00,-678.392082E-03
+75.010000E-03,+1.136180922E+00,+4.595175897E+00,+19.239949137E+00,+5.552763745E+00
+75.015000E-03,+1.136180922E+00,+4.306231171E+00,+521.355748E-03,-678.392082E-03
+75.020000E-03,+1.136180922E+00,+4.507236198E+00,+18.109295845E+00,+5.753768772E+00
+75.025000E-03,+1.216582932E+00,+4.507236198E+00,+1.526380897E+00,-728.643339E-03
+75.030000E-03,+1.256783936E+00,+4.394170870E+00,+4.038943768E+00,+2.939698398E+00
+75.035000E-03,+1.216582932E+00,+4.507236198E+00,+19.239949137E+00,+6.118090383E+00
+75.040000E-03,+1.136180922E+00,+4.896683437E+00,-4.001257420E+00,-3.894472510E+00
+75.045000E-03,+1.377386950E+00,+4.645427153E+00,+15.722361118E+00,+4.711055196E+00
+75.050000E-03,+1.332160820E+00,+4.507236198E+00,+18.843174E-03,-2.889447376E+00
+75.055000E-03,+1.312060317E+00,+4.507236198E+00,+18.109295845E+00,+6.005025055E+00
+75.060000E-03,+1.457788959E+00,+4.507236198E+00,+4.038943768E+00,+728.643104E-03
+75.065000E-03,+1.457788959E+00,-178.693487E-03,+18.109295845E+00,+5.552763745E+00
+75.070000E-03,+1.412562829E+00,-115.879416E-03,+18.843174E-03,-376.884542E-03
+75.075000E-03,+1.457788959E+00,-166.130673E-03,+18.109295845E+00,+5.552763745E+00
+75.080000E-03,+1.538190968E+00,-316.884443E-03,+18.843174E-03,-477.387056E-03
+75.085000E-03,+1.477889461E+00,-115.879416E-03,+18.843174E-03,+5.703517515E+00
+75.090000E-03,+1.457788959E+00,-115.879416E-03,-986.181974E-03,-565.326755E-03
+75.095000E-03,+1.457788959E+00,-78.190974E-03,+18.843174E-03,+5.753768772E+00
+75.100000E-03,+1.457788959E+00,+72.562796E-03,-1.865578979E+00,-477.387056E-03
+75.105000E-03,+1.538190968E+00,-115.879416E-03,+646.983892E-03,+5.615577816E+00
+75.110000E-03,+1.578391973E+00,-115.879416E-03,+1.023868322E+00,+2.047738592E+00
+75.115000E-03,+1.598492475E+00,-115.879416E-03,+521.355748E-03,+37.688325E-03
+75.120000E-03,+1.618592978E+00,-316.884443E-03,+18.843174E-03,+5.753768772E+00
+75.125000E-03,+1.593467350E+00,-115.879416E-03,+646.983892E-03,-728.643339E-03
+75.130000E-03,+1.573366847E+00,-115.879416E-03,+18.843174E-03,+5.552763745E+00
+75.135000E-03,+1.618592978E+00,-15.376903E-03,+18.843174E-03,-678.392082E-03
+75.140000E-03,+1.538190968E+00,-115.879416E-03,+144.471318E-03,+2.336683318E+00
+75.145000E-03,+1.618592978E+00,-115.879416E-03,+18.843174E-03,+5.012562736E+00
+75.150000E-03,+1.538190968E+00,-128.442231E-03,+2.028893471E+00,-163.316702E-03
+75.155000E-03,+1.538190968E+00,-78.190974E-03,-358.041257E-03,+4.195979815E+00
+75.160000E-03,+1.538190968E+00,-115.879416E-03,+18.843174E-03,+4.158291372E+00
+75.165000E-03,+1.558291471E+00,-115.879416E-03,+646.983892E-03,-125.628259E-03
+75.170000E-03,+1.538190968E+00,-15.376903E-03,-860.553831E-03,+5.062813993E+00
+75.175000E-03,+1.518090466E+00,-228.944744E-03,+2.028893471E+00,-276.382029E-03
+75.180000E-03,+1.533165843E+00,-115.879416E-03,+18.843174E-03,+3.542713478E+00
+75.185000E-03,+1.457788959E+00,-115.879416E-03,+18.843174E-03,+4.057788859E+00
+75.190000E-03,+1.457788959E+00,-115.879416E-03,+1.023868322E+00,-75.377002E-03
+75.195000E-03,+1.437688457E+00,-115.879416E-03,+521.355748E-03,+4.949748665E+00
+75.200000E-03,+1.452763834E+00,-115.879416E-03,+18.843174E-03,-75.377002E-03
+75.205000E-03,+1.397487452E+00,-115.879416E-03,+18.843174E-03,+4.497487355E+00
+75.210000E-03,+1.377386950E+00,+85.125610E-03,-860.553831E-03,+1.947236079E+00
+75.215000E-03,+1.312060317E+00,-115.879416E-03,+18.843174E-03,+628.140591E-03
+75.220000E-03,+1.296984941E+00,-115.879416E-03,+18.843174E-03,+4.949748665E+00
+75.225000E-03,+1.296984941E+00,-65.628160E-03,+2.028893471E+00,+125.628024E-03
