#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A1895C
#Date Time: 2017-05-13 21:07::22.037

Time (s),Channel 1 (V),Channel 2 (V)
-0.0051190909090909099,-0.89131251449132032,-0.23219735039737427
-0.0051178409090909096,-0.86134231139844253,-0.22883005772417336
-0.0051165909090909092,-0.86467233396431176,-0.23556464307057337
-0.0051153409090909097,-0.85135224370081675,-0.23219735039737427
-0.0051140909090909093,-0.83470213087143996,-0.23893193574377553
-0.0051128409090909098,-0.8380321534373153,-0.23219735039737427
-0.0051115909090909094,-0.79807188264681195,-0.2355646430705749
-0.0051103409090909099,-0.82471206317380208,-0.22883005772417642
-0.0051090909090909095,-0.7847517923833105,-0.23219735039737427
-0.0051078409090909091,-0.79141183751505506,-0.23219735039737274
-0.0051065909090909096,-0.77809174725156005,-0.22883005772417336
-0.0051053409090909092,-0.76144163442218515,-0.23556464307057029
-0.0051040909090909097,-0.76477165698805893,-0.22546276505097274
-0.0051028409090909093,-0.73147143132930581,-0.2355646430705749
-0.0051015909090909098,-0.7414614990269317,-0.23219735039737427
-0.0051003409090909094,-0.71815134106580469,-0.22883005772417336
-0.0050990909090909099,-0.71815134106580469,-0.23556464307057184
-0.0050978409090909095,-0.7081612733681788,-0.22883005772417336
-0.0050965909090909091,-0.68152109284118245,-0.23219735039737274
-0.0050953409090909096,-0.69484118310467746,-0.22883005772417336
-0.0050940909090909092,-0.66154095744592889,-0.23556464307057337
-0.0050928409090909097,-0.67153102514355045,-0.23219735039737427
-0.0050915909090909093,-0.64156082205067277,-0.23219735039737427
-0.0050903409090909098,-0.6349007769189251,-0.23893193574377247
-0.0050890909090909094,-0.62824073178717166,-0.22883005772417336
-0.0050878409090909099,-0.60826059639192875,-0.23893193574377092
-0.0050865909090909095,-0.61492064152367021,-0.2355646430705749
-0.0050853409090909091,-0.57496037073317408,-0.2355646430705749
-0.0050840909090909096,-0.59161048356254331,-0.2355646430705749
-0.0050828409090909092,-0.56830032560141608,-0.2355646430705749
-0.0050815909090909097,-0.56497030303554074,-0.23893193574377553
-0.0050803409090909094,-0.55498023533791496,-0.2355646430705749
-0.0050790909090909098,-0.52501003224505072,-0.238931935743774
-0.0050778409090909095,-0.53833012250853851,-0.2355646430705749
-0.0050765909090909099,-0.49836985171805276,-0.238931935743774
-0.0050753409090909096,-0.51501996454741128,-0.2355646430705749
-0.0050740909090909092,-0.48504976145453199,-0.23219735039737732
-0.0050728409090909097,-0.48171973888865849,-0.23893193574377553
-0.0050715909090909093,-0.47838971632278293,-0.23219735039737427
-0.0050703409090909098,-0.44841951322990514,-0.23893193574377553
-0.0050690909090909094,-0.4550795583616557,-0.23219735039737427
-0.0050678409090909099,-0.4117892650052965,-0.23556464307057337
-0.0050665909090909095,-0.43509942296640403,-0.2355646430705749
-0.0050653409090909091,-0.40179919730764974,-0.22883005772417642
-0.0050640909090909096,-0.39846917474177568,-0.2355646430705749
-0.0050628409090909092,-0.39180912961001146,-0.23219735039737888
-0.0050615909090909097,-0.36183892651714733,-0.24229922841697615
-0.0050603409090909093,-0.37182899421477345,-0.22883005772417336
-0.0050590909090909098,-0.34185879112189566,-0.2355646430705749
-0.0050578409090909094,-0.34518881368777121,-0.2355646430705749
-0.0050565909090909099,-0.31854863316078053,-0.2355646430705749
-0.0050553409090909095,-0.31521861059489342,-0.24229922841697615
-0.0050540909090909091,-0.31188858802900421,-0.23219735039737732
-0.0050528409090909096,-0.28191838493614008,-0.23893193574377553
-0.0050515909090909092,-0.29190845263375104,-0.22883005772417642
-0.0050503409090909097,-0.2586082269750134,-0.2355646430705749
-0.0050490909090909093,-0.26526827210676396,-0.23219735039737427
-0.0050478409090909098,-0.24195811414564733,-0.23556464307057337
-0.0050465909090909094,-0.23196804644801061,-0.2355646430705749
-0.0050453409090909099,-0.22863802388213714,-0.22883005772417642
-0.0050440909090909095,-0.19866782078925782,-0.23893193574377553
-0.0050428409090909091,-0.21531793361861631,-0.22883005772417642
-0.0050415909090909096,-0.17535766282813059,-0.2355646430705749
-0.0050403409090909092,-0.1853477305257567,-0.2355646430705749
-0.0050390909090909097,-0.15870754999875392,-0.23219735039737427
-0.0050378409090909093,-0.14871748230112836,-0.2355646430705749
-0.0050365909090909098,-0.13872741460350679,-0.2321973503973758
-0.0050353409090909095,-0.10875721151062445,-0.23893193574377553
-0.0050340909090909099,-0.12873734690586761,-0.23219735039737732
-0.0050328409090909096,-0.092107098681248334,-0.24229922841697615
-0.0050315909090909092,-0.098767143812986777,-0.2422992284169731
-0.0050303409090909097,-0.072126963285996104,-0.2355646430705749
-0.0050290909090909093,-0.065466918154245546,-0.23893193574377553
-0.0050278409090909098,-0.058806873022494988,-0.22546276505097274
-0.0050265909090909094,-0.028836669929617198,-0.24229922841697615
-0.0050253409090909099,-0.035496715061365286,-0.2288300577241795
-0.0050240909090909095,0.0077935782950105947,-0.2355646430705749
-0.0050228409090909091,-0.01884660223197801,-0.23556464307057642
-0.0050215909090909096,0.011123600860886151,-0.23893193574377553
-0.0050203409090909092,0.017783645992642767,-0.2422992284169731
-0.0050190909090909097,0.031103736256137826,-0.2355646430705749
-0.0050178409090909093,0.051083871651389501,-0.23893193574377553
-0.0050165909090909098,0.037763781387888384,-0.22883005772417336
-0.0050153409090909094,0.08105407474426729,-0.2355646430705749
-0.0050140909090909099,0.074394029612519758,-0.2355646430705749
