Designator	navn	beskrivelse	pris

"Q53002"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q53001"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q53000"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51012"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51008"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51007"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51006"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51002"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51001"	"TSM2314"	"N-Channel MOSFET"	"-1"
"Q51000"	"TSM2314"	"N-Channel MOSFET"	"-1"
"L52501"	"Skilletrafo 2:1"	""	"500"
"D53002"	"SMD LED Red"	"SMD"	"1"
"D53001"	"SMD LED Red"	"SMD"	"1"
"D53000"	"SMD LED Red"	"SMD"	"1"
"D52501"	"SMD LED Red"	""	"1"
"D51006"	"SMD LED Red"	"SMD"	"1"
"D51201"	"SMD LED Red"	"SMD"	"1"
"D51005"	"SMD LED Red"	"SMD"	"1"
"D51004"	"SMD LED Red"	"SMD"	"1"
"D51000"	"SMD LED Red"	"SMD"	"1"
"D51008"	"SMD LED Red"	"SMD"	"1"
"D51007"	"SMD LED Red"	"SMD"	"1"
"D53003"	"SMBJ5.0A-TR"	"Transient Voltage Suppressor, TVS, Transil SMBJ Series, Unidirectional, 5 V, SMD, 2, 6.4 V"	"1"
"M53100_TK531_2"	"SK-454-75-SA"	""	"14"
"M53100_TK531_1"	"SK-454-75-SA"	""	"14"
"T52001"	"SD250-3"	"Dual Gate Drive Transformer"	"-1"
"T52000"	"SD250-3"	"Dual Gate Drive Transformer"	"-1"
"D50213"	"Rød LED 5mm"	"LED, Red, 5mm, 643 nm, 1.8 V, 20 mA, 400 mcd"	"3"
"D50210"	"Rød LED 5mm"	"LED, Red, 5mm, 643 nm, 1.8 V, 20 mA, 400 mcd"	"3"
"D50207"	"Rød LED 5mm"	"LED, Red, 5mm, 643 nm, 1.8 V, 20 mA, 400 mcd"	"3"
"D50204"	"Rød LED 5mm"	"LED, Red, 5mm, 643 nm, 1.8 V, 20 mA, 400 mcd"	"3"
"D50201"	"Rød LED 5mm"	"LED, Red, 5mm, 643 nm, 1.8 V, 20 mA, 400 mcd"	"3"
"D50216"	"Rød LED 5mm"	"LED, Red, 5mm, 643 nm, 1.8 V, 20 mA, 400 mcd"	"3"
"J51400"	"PCIeX1-GF-2D-1000-1K-O36"	""	"0"
"J51100_TK511"	"PCIeX1-GF-2D-1000-1K-O36"	""	"0"
"J51100_TK511_2"	"PCIeX1-GF-2D-1000-1K-O36"	""	"0"
"J51005"	"PCI_Express-36P"	"PCI_Express-36P"	"16"
"J51004"	"PCI_Express-36P"	"PCI_Express-36P"	"16"
"J51003"	"PCI_Express-36P"	"PCI_Express-36P"	"16"
"J51002"	"PCI_Express-36P"	"PCI_Express-36P"	"16"
"J51001"	"PCI_Express-36P"	"PCI_Express-36P"	"16"
"J51000"	"PCI_Express-36P"	"PCI_Express-36P"	"16"
"J53100_TK531_1"	"MPTC-02-16-02-01-03-L-RA-SD"	""	"30"
"J53100_TK531_2"	"MPTC-02-16-02-01-03-L-RA-SD"	""	"30"
"J53002"	"MPSC-02-16-02-7.70-03-L-V-LC"	"SAMTEC Connector"	"30"
"J53001"	"MPSC-02-16-02-7.70-03-L-V-LC"	"SAMTEC Connector"	"30"
"J53000"	"MPSC-02-16-02-7.70-03-L-V-LC"	""	"30"
"U51000"	"MOCD207R2M"	""	"4"
"F53001"	"MC36214"	""	"2"
"F53000"	"MC36214"	""	"2"
"C52500"	"MAL209636222E3"	""	"340"
"L52501"	"Lampe"	""	"0"
"L52500"	"Lampe"	""	"0"
"M53005"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M53004"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M53003"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M53002"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M53001"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M53000"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51017"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51016"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51015"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51014"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51013"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51012"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51011"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51010"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51009"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51008"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51007"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51006"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51005"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51004"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51003"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51002"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51001"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"M51000"	"KortStøtte"	"Støtter kort i bakplan"	"5"
"K52501"	"Kontaktor"	""	"50"
"K52500"	"Kontaktor"	""	"50"
"K52500"	"Kontaktor"	""	"50"
"J53005"	"JST 4pin"	""	"2"
"J53004"	"JST 4pin"	""	"2"
"J53003"	"JST 4pin"	""	"2"
"J50203"	"JST 3pin"	""	"2"
"J50202"	"JST 3pin"	""	"2"
"J50201"	"JST 3pin"	""	"2"
"J50200"	"JST 3pin"	""	"2"
