LibRef	Designator	Design comment

"47R"	"R51007"	""
"47R"	"R51008"	""
"47R"	"R51009"	""
"47R"	"R51018"	""
"47R"	"R51019"	""
"47R"	"R51020"	""
"47R"	"R51025"	""
"47R"	"R51026"	""
"47R"	"R51027"	""
"47R"	"R51028"	""
"47R"	"R51029"	""
"47R"	"R51030"	""
"100k"	"R51000"	""
"100k"	"R51001"	""
"100k"	"R51002"	""
"100k"	"R51003"	""
"100k"	"R51004"	""
"100k"	"R51005"	""
"100k"	"R51006"	""
"100k"	"R51010"	""
"100k"	"R51011"	""
"100k"	"R51012"	""
"100k"	"R51013"	""
"100k"	"R51014"	""
"100k"	"R51015"	""
"100k"	"R51016"	""
"100k"	"R51017"	""
"100k"	"R51021"	""
"100k"	"R51022"	""
"100k"	"R51023"	""
"100k"	"R51024"	""
"Header Shrouded 2X5P"	"J51009"	""
"Header Shrouded 2X5P"	"J51010"	""
"Header Shrouded 2X5P"	"J51011"	""
"Header Shrouded 2X5P"	"J51018"	""
"Header Shrouded 2X5P"	"J51019"	""
"Header Shrouded 2X5P"	"J51020"	""
"Header Shrouded 2X17P"	"J51027"	""
"IRLML6402"	"Q51003"	""
"IRLML6402"	"Q51004"	""
"IRLML6402"	"Q51005"	""
"IRLML6402"	"Q51009"	""
"IRLML6402"	"Q51010"	""
"IRLML6402"	"Q51011"	""
"IRLML6402"	"Q51015"	""
"IRLML6402"	"Q51016"	""
"IRLML6402"	"Q51017"	""
"JST 2pin"	"J51012"	""
"JST 2pin"	"J51013"	""
"JST 2pin"	"J51014"	""
"JST 2pin"	"J51015"	""
"JST 2pin"	"J51016"	""
"JST 2pin"	"J51017"	""
"JST 2pin"	"J51021"	""
"JST 2pin"	"J51022"	""
"JST 2pin"	"J51023"	""
"JST 2pin"	"J51024"	""
"JST 2pin"	"J51025"	""
"JST 2pin"	"J51026"	""
"JST 2pin"	"J51028"	""
"JST 2pin"	"J51029"	""
"JST 2pin"	"J51030"	""
"KortStøtte"	"M1"	""
"KortStøtte"	"M10"	""
"KortStøtte"	"M11"	""
"KortStøtte"	"M12"	""
"KortStøtte"	"M13"	""
"KortStøtte"	"M14"	""
"KortStøtte"	"M15"	""
"KortStøtte"	"M16"	""
"KortStøtte"	"M17"	""
"KortStøtte"	"M18"	""
"KortStøtte"	"M2"	""
"KortStøtte"	"M3"	""
"KortStøtte"	"M4"	""
"KortStøtte"	"M5"	""
"KortStøtte"	"M6"	""
"KortStøtte"	"M7"	""
"KortStøtte"	"M8"	""
"KortStøtte"	"M9"	""
"PCI_Express-36P"	"J51000"	""
"PCI_Express-36P"	"J51001"	""
"PCI_Express-36P"	"J51002"	""
"PCI_Express-36P"	"J51003"	""
"PCI_Express-36P"	"J51004"	""
"PCI_Express-36P"	"J51005"	""
"PCI_Express-36P"	"J51006"	""
"PCI_Express-36P"	"J51007"	""
"PCI_Express-36P"	"J51008"	""
"SMD LED Red"	"D51000"	""
"SMD LED Red"	"D51001"	""
"SMD LED Red"	"D51002"	""
"SMD LED Red"	"D51003"	""
"SMD LED Red"	"D51004"	""
"SMD LED Red"	"D51005"	""
"SMD LED Red"	"D51006"	""
"SMD LED Red"	"D51007"	""
"SMD LED Red"	"D51008"	""
"SMD LED Red"	"D51009"	""
"SMD LED Red"	"D51010"	""
"SMD LED Red"	"D51011"	""
"TSM2314"	"Q51000"	""
"TSM2314"	"Q51001"	""
"TSM2314"	"Q51002"	""
"TSM2314"	"Q51006"	""
"TSM2314"	"Q51007"	""
"TSM2314"	"Q51008"	""
"TSM2314"	"Q51012"	""
"TSM2314"	"Q51013"	""
"TSM2314"	"Q51014"	""
